message_id,date,sender,to,subject,body,intent
,,demo@example.com,recipient@example.com,Budget Review Needed,Please review the Q3 budget report and send me your feedback by end of week. I need your input before the board meeting on Monday.,request
,,demo@example.com,recipient@example.com,Document Forwarding,Could you please forward the signed contract to the legal department? They need it for their records as soon as possible.,request
,,demo@example.com,recipient@example.com,Help with Presentation,Can you help me prepare the slides for the client presentation next Tuesday? I need the financial charts updated with latest numbers.,request
,,demo@example.com,recipient@example.com,Action Required: Report Submission,I need you to submit the monthly compliance report by Friday. Please include all transaction data from the past 30 days.,request
,,demo@example.com,recipient@example.com,Send Updated Files,Would you kindly send me the updated project files? The ones I have are from last month and the client is asking for current numbers.,request
,,demo@example.com,recipient@example.com,Data Export Request,Please export the customer database records for accounts created in Q2 and share them with the analytics team by Thursday.,request
,,demo@example.com,recipient@example.com,Approval Needed for Travel,Can you approve my travel request for the Chicago conference? I need to book flights before the prices go up.,request
,,demo@example.com,recipient@example.com,Printer Setup,Could you set up the new printer on the third floor? The old one has been out of service for a week now.,request
,,demo@example.com,recipient@example.com,FYI: Policy Change,Just letting you know that the company travel policy has been updated effective next month. All international trips now require VP approval.,inform
,,demo@example.com,recipient@example.com,Update on Project Alpha,Wanted to share a quick update on Project Alpha. We completed the first phase ahead of schedule and are now moving to testing.,inform
,,demo@example.com,recipient@example.com,New Team Member,"For your information, Sarah Johnson will be joining our team next Monday as a senior analyst. Please make her feel welcome.",inform
,,demo@example.com,recipient@example.com,Q3 Results Summary,Here is a summary of our Q3 financial results. Revenue was up 12 percent year over year and operating costs decreased by 3 percent.,inform
,,demo@example.com,recipient@example.com,Office Relocation Notice,Please note that our downtown office will be relocating to the new building on Oak Street starting January 15th. More details to follow.,inform
,,demo@example.com,recipient@example.com,System Maintenance Notice,Heads up that the email server will be down for maintenance this Saturday from 10pm to 2am. Please plan accordingly.,inform
,,demo@example.com,recipient@example.com,Quarterly Newsletter,Attached is the quarterly newsletter with updates from all departments. Please review and share with your teams.,inform
,,demo@example.com,recipient@example.com,Policy Update Reminder,Just wanted to let everyone know that the updated expense policy is now live on the intranet. See below for the key changes.,inform
,,demo@example.com,recipient@example.com,Meeting Tomorrow at 2pm,Let us schedule a meeting for tomorrow at 2pm to discuss the quarterly results. Conference room B is available.,schedule
,,demo@example.com,recipient@example.com,Conference Call Setup,I would like to set up a conference call with the Tokyo team this Thursday at 9am EST. Please confirm your availability.,schedule
,,demo@example.com,recipient@example.com,Rescheduling Weekly Sync,The weekly team sync has been moved from Tuesday to Wednesday at 11am. Please update your calendars accordingly.,schedule
,,demo@example.com,recipient@example.com,Lunch Meeting,Are you available for a lunch meeting on Friday? I want to discuss the new hiring plan over at the restaurant across the street.,schedule
,,demo@example.com,recipient@example.com,Board Meeting Date,The board meeting is scheduled for March 15th at 10am in the main conference room. Attendance is mandatory for all directors.,schedule
,,demo@example.com,recipient@example.com,Interview Scheduling,We need to schedule interviews for the three shortlisted candidates. Are you available next Monday and Tuesday afternoon?,schedule
,,demo@example.com,recipient@example.com,Training Session,A training session on the new CRM system has been scheduled for next Wednesday from 2pm to 4pm in the training room.,schedule
,,demo@example.com,recipient@example.com,Calendar Invite,Please accept the calendar invite for the project kickoff meeting on Thursday at 3pm. We will be reviewing the project charter.,schedule
,,demo@example.com,recipient@example.com,Following Up on Proposal,I am following up on the proposal I sent last week. Have you had a chance to review it? We need to finalize by end of month.,follow_up
,,demo@example.com,recipient@example.com,Checking In: Action Items,Just checking in on the action items from our last meeting. Could you provide a status update on the vendor evaluation?,follow_up
,,demo@example.com,recipient@example.com,Reminder: Deadline Friday,This is a reminder that the project deliverables are due this Friday. Please ensure all documents are uploaded to the shared drive.,follow_up
,,demo@example.com,recipient@example.com,Status Update Request,Circling back on the infrastructure migration. Where are we on the database transfer? The original deadline was last Tuesday.,follow_up
,,demo@example.com,recipient@example.com,Pending Invoice,Following up on invoice 4523 that was submitted three weeks ago. It is still showing as pending in our system. Any update?,follow_up
,,demo@example.com,recipient@example.com,Re: Contract Review,Just touching base on the contract review. Has legal had a chance to go through the terms? We need to respond to the vendor.,follow_up
,,demo@example.com,recipient@example.com,Any Progress on Hiring,Checking in on the hiring process for the engineering positions. Have we received any strong applications yet?,follow_up
,,demo@example.com,recipient@example.com,Outstanding Tasks,This is a reminder about the outstanding tasks from the sprint review. Please update the tracking board with your progress.,follow_up
,,demo@example.com,recipient@example.com,Service Quality Issue,I am very disappointed with the service quality from our vendor. The last three deliveries have been late and below standard.,complaint
,,demo@example.com,recipient@example.com,System Outage Concerns,The repeated system outages are becoming unacceptable. We have had three incidents this month alone and it is affecting productivity.,complaint
,,demo@example.com,recipient@example.com,Billing Discrepancy,I have a serious issue with the latest invoice. The charges are significantly higher than what was agreed upon in our contract.,complaint
,,demo@example.com,recipient@example.com,Frustrated with Process,I am extremely frustrated with the current approval process. It takes over two weeks to get a simple purchase order approved.,complaint
,,demo@example.com,recipient@example.com,Team Communication Problems,I am concerned about the communication breakdown between engineering and sales. Customers are being promised features we cannot deliver.,complaint
,,demo@example.com,recipient@example.com,IT Support Complaint,The IT support response time has been terrible lately. My laptop issue has been open for five days with no resolution in sight.,complaint
,,demo@example.com,recipient@example.com,Vendor Performance,The vendor performance this quarter has been very disappointing. Quality has dropped significantly and deadlines are consistently missed.,complaint
,,demo@example.com,recipient@example.com,Escalation: Unresolved Bug,I need to escalate the unresolved bug in the billing system. It has been reported three times and is causing incorrect charges to clients.,complaint
,,demo@example.com,recipient@example.com,Question About Benefits,I have a question about the new health benefits package. What is the coverage for dental and vision under the premium plan?,inquiry
,,demo@example.com,recipient@example.com,How Does the New System Work,I am wondering how the new expense reporting system works. Do we still need manager approval for amounts under 500 dollars?,inquiry
,,demo@example.com,recipient@example.com,Curious About Promotion Criteria,I am curious about the criteria for promotion to senior engineer. Is there a formal rubric or evaluation process?,inquiry
